1411671840,322.0800,322.6000,321.8200,322.1499,21700
1411672142,321.9600,322.3200,321.8500,322.1050,13900
1411672458,321.7700,322.0500,321.7200,321.9300,21100
1411672749,321.8750,322.3800,321.7500,321.8900,23400
1411673043,321.7200,321.9500,321.4000,321.9500,52500
1411673391,321.8100,322.0644,321.5000,321.7500,29800
1411673640,322.3300,322.4812,321.6800,321.7200,45800
1411673941,322.9100,322.9100,322.3200,322.3900,41000
1411674241,323.0700,323.1600,322.7500,322.9100,37400
1411674541,322.9000,323.1300,322.6400,323.0700,60400
1411674899,322.3000,322.9400,322.2700,322.8900,80500
1411675140,321.8800,322.5200,321.8700,322.3450,280300
1411675200,321.9300,321.9300,321.9300,321.9300,16500
1411738443,322.3500,322.7200,321.0900,321.1300,0
1411738795,322.1425,323.5000,322.0200,322.1750,50200
1411739041,321.9600,322.5700,321.0900,322.1636,57700
1411739343,321.7250,322.4900,320.7900,322.1700,51900
1411739647,321.2200,322.7500,321.1100,321.9399,38000
1411739942,320.6950,321.2100,320.1000,321.2100,87500
1411740299,320.8500,321.6395,320.7600,320.7600,56300
1411740543,320.3800,320.9748,320.1500,320.8060,50800
1411740841,318.4100,320.7140,318.4100,320.3800,190100
1411741142,318.4500,319.4000,318.4000,318.4500,111200
1411741499,319.3500,319.4400,318.5600,318.5650,88400
1411741799,318.5800,319.8299,318.5800,319.2900,83800
1411742040,318.9600,319.2400,318.0100,318.5800,89600
1411742341,318.2700,319.4400,318.2300,318.9600,50900
1411742699,318.8700,318.8700,318.0000,318.2400,56700
1411742940,318.2500,318.9600,318.2500,318.9500,52600
1411743256,318.4600,319.0690,318.0500,318.2200,46000
1411743540,319.0000,319.0000,318.3500,318.4200,40100
1411743841,319.0300,319.3800,318.8000,319.0350,51400
1411744140,318.9800,319.2100,318.7110,319.0700,33800
1411744440,318.5020,319.2500,318.4400,318.9800,29700
1411744741,318.1899,318.9000,318.0000,318.5100,86200
1411745041,318.0200,318.4950,318.0200,318.1400,44600
1411745342,317.8600,318.1700,317.6400,318.0700,100100
1411745641,317.8000,318.2020,317.7500,318.0300,34300
1411745940,318.0262,318.1500,317.6400,317.8600,25100
1411746240,318.0900,318.1000,317.7600,317.9100,20400
1411746599,318.4500,318.4900,318.0000,318.1200,40500
1411746855,318.3500,318.4600,318.0900,318.4300,27500
1411747143,318.1900,318.7400,318.1900,318.2400,27100
1411747450,318.9000,318.9000,318.2500,318.4199,29600
1411747754,318.8500,318.9800,318.6000,318.8600,30400
1411748097,319.4399,319.6700,318.8100,318.8800,34000
1411748342,319.8200,319.8500,319.1100,319.4399,32000
1411748645,320.1000,320.3990,319.7000,319.7500,58400
1411748941,320.1100,320.1400,319.6600,320.0700,14700
1411749244,319.7900,320.2700,319.7300,320.1300,20200
1411749540,319.6800,320.0100,319.6700,319.7900,17600
1411749844,319.7000,319.9300,319.5100,319.7800,20100
1411750143,320.1990,320.1990,319.7720,319.7720,21000
1411750497,320.3100,320.4700,320.1200,320.1200,20000
1411750741,321.0360,321.0890,320.3234,320.4700,59200
1411751066,321.1000,321.1000,320.7700,321.0250,11600
1411751351,321.2000,321.2100,320.9400,321.0300,19000
1411751642,321.0500,321.5000,320.9700,321.2500,20100
1411751940,321.0300,321.2800,320.9840,321.0900,21600
1411752243,321.0900,321.4400,320.9010,321.0300,21900
1411752542,320.8000,321.0700,320.4400,321.0700,31900
1411752851,320.5600,320.7600,320.3100,320.6710,19200
1411753145,320.8100,320.8200,320.3000,320.4600,15500
1411753447,320.3600,320.8400,320.3600,320.8400,12100
1411753743,320.2500,320.3444,320.1700,320.3200,26300
1411754059,320.6400,320.7000,320.1900,320.2400,18300
1411754346,320.9050,321.1600,320.4740,320.5900,16200
1411754698,321.0100,321.3500,320.9400,320.9900,25100
1411754940,321.7300,321.8500,320.9400,321.0101,34300
1411755250,321.3100,321.8200,321.3100,321.8200,16400
1411755541,322.4300,322.5070,321.3650,321.4200,46500
1411755840,322.2400,322.5000,321.9950,322.5000,25600
1411756159,322.6150,322.7700,322.3500,322.3500,35200
1411756457,322.4400,322.7350,322.2901,322.4400,24500
1411756748,322.7500,322.9400,322.4500,322.4500,28600
1411757047,322.8300,322.9000,322.5300,322.8700,15700
1411757346,323.3000,323.4200,322.7300,322.8498,50300
1411757699,323.0900,323.4129,323.0500,323.2900,40000
1411757961,323.1600,323.3000,322.9900,323.0960,35600
1411758241,323.0400,323.2100,322.7900,323.1405,38500
1411758574,323.0600,323.1680,322.9401,323.0600,28700
1411758893,322.9600,323.1900,322.6410,323.0800,31500
1411759198,322.4100,322.9700,322.3150,322.9500,25800
1411759492,322.8000,322.9600,322.3600,322.3600,24900
1411759742,322.7850,322.9400,322.5800,322.7950,45600
1411760042,322.2800,322.8800,322.0000,322.8300,42100
1411760342,321.8500,322.2299,321.5800,322.2100,54500
1411760696,322.2900,322.4500,321.8050,321.8050,36000
1411760940,322.4200,322.4800,321.9500,322.1900,54200
1411761240,323.2800,323.3000,322.4200,322.4200,115200
1411761540,323.1800,323.4950,322.9600,323.2500,188400
1411761600,323.2100,323.2100,323.2100,323.2100,104000
1411997699,319.7800,320.1800,319.0000,319.8800,0
1411997953,320.0100,321.2399,319.8200,319.8900,44400
1411998254,319.9500,320.4100,319.7000,320.0000,62300
1411998565,319.9100,320.9000,319.8800,320.6300,34000
1411998840,320.2799,320.2799,319.6000,319.7700,44000
1411999140,320.4810,320.7200,319.7300,320.1200,29500
1411999440,320.1900,320.6350,319.9800,320.4400,27500
1411999740,319.9500,320.6700,319.8710,320.4500,20800
1412000061,320.6514,320.7400,319.8170,319.9000,33800
1412000340,321.5950,321.7000,320.7600,320.8000,32300
1412000656,321.5300,322.1500,321.5300,321.7580,38500
1412000954,321.6000,322.0600,321.3800,321.7400,60500
1412001244,322.2000,322.2000,321.2400,321.8000,32000
1412001595,322.0700,322.2000,321.7600,321.9700,32100
1412001853,323.1700,323.2000,322.0800,322.1689,49600
1412002144,322.8500,323.3700,322.6000,323.2500,51200
1412002449,322.6000,322.9850,322.5200,322.7800,17300
1412002740,322.4300,322.8900,322.4100,322.5200,28800
1412003040,322.9000,323.0700,322.5400,322.6900,26800
1412003342,323.3500,323.3500,322.9610,323.0600,26300
1412003642,323.3000,323.4695,323.0200,323.0200,17000
1412003973,323.4620,323.4900,323.2005,323.3200,19300
1412004253,323.0000,323.7500,322.9100,323.4900,29900
1412004541,322.8500,323.1200,322.6200,322.9800,17400
1412004841,322.4000,322.7630,322.2300,322.7630,29200
1412005140,322.0300,322.3310,322.0100,322.2900,13700
1412005449,322.2100,322.2100,321.8700,322.0000,10700
1412005741,321.9900,322.3990,321.8200,322.2100,11300
1412006049,322.1300,322.3900,321.9100,321.9100,8200
1412006385,322.7700,322.7700,322.1520,322.1620,5900
1412006646,322.1500,322.8700,321.9900,322.7950,11500
1412006994,322.2900,322.4485,321.9700,322.3100,16100
1412007273,321.6000,322.2700,321.5300,322.2600,22400
1412007545,321.8750,321.8750,321.3600,321.5600,7700
1412007855,321.3500,321.8800,321.3500,321.8336,12900
1412008149,321.0800,321.5100,321.0400,321.4500,16900
1412008499,320.7900,321.1595,320.7300,321.0700,20800
1412008754,320.8900,321.0700,320.5700,320.8400,22300
1412009056,321.3530,321.5599,320.8890,320.8900,15000
1412009371,321.3100,321.4300,320.8900,321.3500,8800
1412009648,321.9360,322.2300,321.1700,321.2600,12800
1412009942,322.0300,322.2650,321.9600,322.0800,10600
1412010257,321.5100,322.0800,321.5100,322.0000,6600
1412010541,321.5000,321.7899,321.4100,321.6504,15600
1412010843,321.1600,321.5400,321.1500,321.5000,8700
1412011163,321.5900,321.9800,321.1000,321.1100,14300
1412011499,321.4800,321.7000,321.3300,321.4800,6500
1412011742,321.9799,321.9799,321.4700,321.4900,4800
1412012093,321.9024,322.1899,321.8600,321.9800,9000
1412012377,321.6099,321.9100,321.3900,321.9100,10600
1412012699,321.2100,321.7200,321.1700,321.5600,15100
1412012955,320.8900,321.4200,320.7600,321.4200,19500
1412013245,321.3000,321.4600,321.0000,321.0000,8100
1412013551,321.4100,321.4400,321.0900,321.2600,6100
1412013893,321.7600,322.0000,321.3900,321.4260,14600
1412014144,321.2000,321.7900,321.1200,321.7900,9900
1412014488,321.2090,321.7100,321.0100,321.4000,11000
1412014740,321.1600,321.5300,320.9200,321.2000,21900
1412015049,320.5900,321.1960,320.5400,321.1960,23800
1412015365,320.7100,320.9900,320.3800,320.6800,22200
1412015643,321.0600,321.1298,320.4210,320.8000,21700
1412015942,320.8700,321.1400,320.5800,321.1300,10600
1412016268,320.5450,320.9800,320.5450,320.8600,11100
1412016545,320.7200,321.1099,320.5400,320.5402,18800
1412016849,320.6400,320.8800,320.5900,320.5900,27000
1412017145,321.2240,321.4100,320.5500,320.6860,15400
1412017440,321.5100,321.6000,321.2300,321.3500,22200
1412017742,321.5500,321.8200,321.3500,321.4100,11800
1412018043,321.9800,321.9800,321.2000,321.4964,16700
1412018349,322.1000,322.1000,321.5100,322.0000,15900
1412018645,322.2400,322.3700,321.8200,322.0900,21400
1412018944,322.1680,322.6000,322.1400,322.3300,27100
1412019241,322.3000,322.4300,321.9600,322.1750,20400
1412019546,322.4500,322.5700,322.2000,322.3300,15300
1412019843,321.8200,322.5500,321.7300,322.5000,28700
1412020152,322.2300,322.3400,321.8100,321.8600,26100
1412020443,321.7800,322.2700,321.7800,322.1300,46600
1412020740,321.9100,322.0100,321.5500,321.8400,89500
1412020800,321.8200,321.8200,321.8200,321.8200,100500
1412084045,321.1700,321.9500,320.5900,320.6950,0
1412084340,320.6500,321.4700,319.8600,321.4300,69800
1412084642,319.8500,320.6200,319.5600,320.5000,86900
1412084952,319.9000,320.7399,319.6000,319.6200,28000
1412085244,320.0500,320.0800,318.5800,319.6200,56000
1412085542,320.2611,320.4200,319.6726,320.2500,18600
1412085895,319.4800,320.0000,319.3200,320.0000,27600
1412086145,320.3500,320.4100,319.1500,319.3300,42300
1412086451,320.7900,321.0600,320.0100,320.2500,33300
1412086749,320.7100,321.0600,320.5600,320.9373,37000
1412087041,320.3328,321.1700,320.2500,320.6800,35400
1412087354,320.1000,320.6700,320.1000,320.4700,19300
1412087699,320.6850,320.8800,320.2900,320.2900,15900
1412087946,321.0100,321.0900,320.6000,320.6700,20500
1412088240,321.2000,321.5000,320.6709,320.9700,57900
1412088547,321.4980,321.9400,321.1200,321.4080,33400
1412088841,322.5100,322.5900,321.2400,321.5000,41600
1412089144,322.5500,322.6100,321.7600,322.6100,39600
1412089442,321.7000,322.4800,321.6800,322.4800,47900
1412089799,322.1300,322.3700,321.7200,321.7200,34500
1412090040,322.2600,322.6300,322.1300,322.1300,43000
1412090342,322.0600,322.5800,321.8000,322.2800,22300
1412090642,322.0300,322.2200,321.6000,322.0600,21300
1412090943,322.3900,322.7100,322.0700,322.2300,39900
1412091240,322.7100,322.8500,322.3300,322.4900,44100
1412091540,322.7550,323.1900,322.5601,322.5601,27900
1412091894,322.5800,322.8700,322.4600,322.7200,24300
1412092146,322.8200,322.8600,322.4700,322.6400,17500
1412092499,322.7500,323.0500,322.5500,322.8200,23300
1412092740,322.5300,322.9700,322.3600,322.7300,17000
1412093082,322.6700,322.7300,322.3246,322.5400,21300
1412093352,322.7900,322.8500,322.4600,322.6300,15700
1412093643,322.8800,322.9400,322.5100,322.6400,21500
1412093945,322.4500,322.9000,322.1890,322.9000,21500
1412094241,321.8600,322.6500,321.8600,322.4800,26300
1412094548,322.3300,322.5000,321.7000,322.1000,18600
1412094899,322.6100,322.6100,322.0500,322.2700,20700
1412095145,321.7600,322.6100,321.7500,322.6100,18400
1412095440,321.9100,322.3100,321.6700,321.8560,15200
1412095740,321.9900,322.2600,321.9000,322.0190,18600
1412096054,322.0300,322.3200,322.0300,322.3200,8300
1412096344,321.9500,322.2200,321.9000,322.2200,8900
1412096658,322.0550,322.2900,321.9000,322.0428,5300
1412096958,322.4400,322.7499,322.0800,322.2000,17800
1412097293,322.2600,322.6000,322.2500,322.3300,5700
1412097583,322.3900,322.7100,322.2400,322.4800,4500
1412097847,321.8400,322.2400,321.8400,322.2200,12700
1412098151,321.6800,322.0000,321.3900,321.9900,29500
1412098461,321.5300,321.9100,321.3200,321.5850,12600
1412098767,321.8600,321.8900,321.4500,321.6200,11600
1412099063,321.2000,321.8746,321.1200,321.8746,10900
1412099341,321.0000,321.1200,320.6600,321.0400,15900
1412099648,320.6900,320.9900,320.5100,320.9900,19200
1412099943,321.2500,321.3400,320.7500,320.7500,16000
1412100285,320.7600,321.0700,320.4100,321.0700,26300
1412100557,320.7700,321.1900,320.5850,320.7950,25200
1412100846,320.8100,320.9099,320.4300,320.8300,24500
1412101141,320.9300,320.9300,320.5200,320.8450,17700
1412101455,320.8000,321.0799,320.5000,320.9300,20300
1412101759,321.2600,321.4000,320.5000,320.8000,22600
1412102040,321.6500,321.8200,321.1850,321.3900,21000
1412102350,321.4850,321.7800,321.3900,321.7800,12600
1412102660,321.6000,321.6000,321.3300,321.4300,15300
1412102953,322.0300,322.1380,321.4700,321.4700,24400
